id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note
4498886,ParcelBox,True,2025-05-04T16:54:29.497,PBOX OST K Myslivně (Itesa),Free,49.825459194,18.156756694,PBOX,OST,K Myslivně,Itesa
4498906,ParcelBox,True,2025-05-02T17:14:31.83,PBOX BBY Široká (Hruška),Free,49.078604694,18.017734694,PBOX,BBY,Široká,Hruška
4500931,ParcelBox,True,2025-05-02T16:54:35.177,PBOX MLE Mikulášovice (Obecúřad),Free,50.965910611,14.361754194,PBOX,MLE,Mikulášovice,Obecúřad
4503897,ParcelBox,True,2025-05-03T08:34:24.797,PBOX POT Hraničky (Potravin),Free,49.778525805,18.170454194,PBOX,POT,Hraničky,Potravin
4504013,ParcelBox,True,2025-05-04T14:34:23.463,PBOX BRN Nám.28.Dubna (ZAST.ZOO),Free,49.227961111,16.531332194,PBOX,BRN,Nám.28.Dubna,ZAST.ZOO
4504031,ParcelBox,True,2025-05-04T11:14:22.903,PBOX VHY VelkéHamry (Náměstí),Free,50.717459388,15.315541694,PBOX,VHY,VelkéHamry,Náměstí
4504046,ParcelBox,True,2025-05-04T15:54:23.133,PBOX SZA Husova (COMPS),Free,50.738551111,15.2454175,PBOX,SZA,Husova,COMPS
4504047,ParcelBox,True,2025-05-04T15:34:22.083,PBOX OSK Tyršova (OD),Free,50.625173888,13.6910125,PBOX,OSK,Tyršova,OD
4504121,ParcelBox,True,2025-05-04T17:14:19.933,PBOX OCY Ovčáry (Patria),Free,50.0640325,15.22833,PBOX,OCY,Ovčáry,Patria
4504124,ParcelBox,True,2025-05-04T17:14:19.963,PBOX STS STRAŠICE (OBEC),Free,49.736164694,13.756116388,PBOX,STS,STRAŠICE,OBEC
4504125,ParcelBox,True,2025-05-04T13:54:15.79,PBOX NRE CHODOVSKÁ (ENAPO),Free,50.270261888,12.783173305,PBOX,NRE,CHODOVSKÁ,ENAPO
4504135,ParcelBox,True,2025-05-02T16:14:35.493,PBOX NSO REVOLUČNÍ (OBCHOD),Free,50.212063611,12.743676388,PBOX,NSO,REVOLUČNÍ,OBCHOD
4504567,ParcelBox,True,2025-05-03T17:54:28.353,PBOX JSE Ve Dvoře (U budovy),Free,49.968479388,14.515168888,PBOX,JSE,Ve Dvoře,U budovy
4504635,ParcelBox,True,2025-05-04T14:34:23.94,PBOX BOI Okružní (Středisk),Free,50.404879388,14.129053611,PBOX,BOI,Okružní,Středisk
4504647,ParcelBox,True,2025-05-03T17:54:28.447,PBOX CBD Krále Jiřího (pneu),Free,50.075973611,14.864510611,PBOX,CBD,Krále Jiřího,pneu
4504649,ParcelBox,True,2025-05-04T14:34:24.003,PBOX DEE Hořelická 47 (Obec),Free,50.030290611,14.204708305,PBOX,DEE,Hořelická 47,Obec
4504847,ParcelBox,True,2025-05-04T17:14:20.45,PBOX TPO Pitrova (cyklocen),Free,50.201247805,15.991709694,PBOX,TPO,Pitrova,cyklocen
4504848,ParcelBox,True,2025-05-04T13:54:16.207,PBOX CNO Malá Čermná (pošta),Free,50.076854388,16.1335375,PBOX,CNO,Malá Čermná,pošta
4504849,ParcelBox,True,2025-05-04T12:14:19.457,PBOX OSE Ostravice (Labuť),Free,49.549345305,18.380145,PBOX,OSE,Ostravice,Labuť
4504850,ParcelBox,True,2025-05-02T16:54:36.107,PBOX OST Hrušovská (SAREZA),Free,49.851569694,18.283484194,PBOX,OST,Hrušovská,SAREZA
4504851,ParcelBox,True,2025-05-02T20:34:46.667,PBOX KNN Kunín (Obec),Free,49.641105,17.988497805,PBOX,KNN,Kunín,Obec
4504852,ParcelBox,True,2025-05-03T15:54:20.907,PBOX KLC Náměstí (LINDERNI),Free,49.786468111,18.131994194,PBOX,KLC,Náměstí,LINDERNI
4504853,ParcelBox,True,2025-05-04T14:54:17.277,PBOX ZLN Na Honech I,Free,49.235786888,17.670313111,PBOX,ZLN,Na Honech I,
4504859,ParcelBox,True,2025-05-03T08:54:18.657,PBOX JVO Palackého nám (COOP),Free,49.632758305,16.7136275,PBOX,JVO,Palackého nám,COOP
4504861,ParcelBox,True,2025-05-04T15:54:23.907,PBOX BOC Dukelská (HRUŠK716),Free,49.754516388,18.012150805,PBOX,BOC,Dukelská,HRUŠK716
4504862,ParcelBox,True,2025-05-02T16:54:36.273,PBOX UNC Litovelská (HRUŠK754),Free,49.764677805,17.111496111,PBOX,UNC,Litovelská,HRUŠK754
4505154,ParcelBox,True,2025-05-04T13:54:16.487,PBOX OLO Lazecká (LIDL),Free,49.602631694,17.25155,PBOX,OLO,Lazecká,LIDL
4505156,ParcelBox,True,2025-05-03T14:54:31.927,PBOX MHE Olomoucká (SPŠ),Free,49.772884388,16.918184194,PBOX,MHE,Olomoucká,SPŠ
4505378,ParcelBox,True,2025-05-02T17:54:27.073,PBOX PRG Kakosova (hřiště),Free,50.038641888,14.322974388,PBOX,PRG,Kakosova,hřiště
4505380,ParcelBox,True,2025-05-04T07:14:26.613,PBOX OLO Sladkovského (JIKO),Free,49.5882775,17.284620305,PBOX,OLO,Sladkovského,JIKO
4505843,ParcelBox,True,2025-05-03T18:34:24.92,PBOX PRG Špirkova (Panelák),Free,50.012961888,14.433851694,PBOX,PRG,Špirkova,Panelák
4505846,ParcelBox,True,2025-05-03T14:34:33.727,PBOX PRG V Hůrkách (Výměník),Free,50.048265305,14.340972805,PBOX,PRG,V Hůrkách,Výměník
4505848,ParcelBox,True,2025-05-03T16:14:28.947,PBOX PRG Novovysočanská (U budovy),Free,50.097216694,14.480158111,PBOX,PRG,Novovysočanská,U budovy
4505988,ParcelBox,True,2025-05-04T16:54:33.85,PBOX PRG Chilská (Opatov),Free,50.028084194,14.508166388,PBOX,PRG,Chilská,Opatov
4505989,ParcelBox,True,2025-05-04T16:54:33.88,PBOX ZND Brodská (restaura),Free,49.699376388,15.814906388,PBOX,ZND,Brodská,restaura
4506118,ParcelBox,True,2025-04-26T04:37:21.55,PBOX DNO Dukelská (Městys),Free,50.106233111,16.2606875,PBOX,DNO,Dukelská,Městys
4506124,ParcelBox,True,2025-05-04T15:54:26.557,PBOX OKE Ml. Stavbařů (Potravin),Free,49.223575611,17.511954194,PBOX,OKE,Ml. Stavbařů,Potravin
4506126,ParcelBox,True,2025-05-02T21:54:33.22,PBOX MPK Sportovní (Obec),Free,48.989658611,17.330241888,PBOX,MPK,Sportovní,Obec
4506128,ParcelBox,True,2025-05-04T16:14:29.913,PBOX KMK Krauzovna (Řeznictv),Free,50.308751388,14.515768888,PBOX,KMK,Krauzovna,Řeznictv
4506138,ParcelBox,True,2025-05-03T20:54:31.667,PBOX SRO Třída 5.květn (Billa),Free,49.753622194,12.990609694,PBOX,SRO,Třída 5.květn,Billa
4506139,ParcelBox,True,2025-05-04T10:14:22.04,PBOX VVU Vel.n.Veličko (Kulturní),Free,48.879771888,17.514594,PBOX,VVU,Vel.n.Veličko,Kulturní
4506368,ParcelBox,True,2025-05-04T13:34:19.327,PBOX ZOE náměstímíru (Průchod),Free,49.037734194,16.617605305,PBOX,ZOE,náměstímíru,Průchod
4506370,ParcelBox,True,2025-05-03T08:54:22.227,PBOX KOL Pražská (interiér),Free,50.029580805,15.190372805,PBOX,KOL,Pražská,interiér
4506719,ParcelBox,True,2025-05-02T11:35:57.823,PBOX HKR Hradecká (Podnik C),Free,50.203816694,15.834262194,PBOX,HKR,Hradecká,Podnik C
4506720,ParcelBox,True,2025-05-03T11:14:13.647,PBOX KRZ Náměstí (COOP),Free,48.905023111,14.304515,PBOX,KRZ,Náměstí,COOP
4506721,ParcelBox,True,2025-05-02T19:14:41.433,PBOX VDY Budějovická,Free,49.142893111,14.182324388,PBOX,VDY,Budějovická,
4506899,ParcelBox,True,2025-05-04T17:14:23.777,PBOX PRG Tusarova (Družstvo),Free,50.101285,14.447673611,PBOX,PRG,Tusarova,Družstvo
4506906,ParcelBox,True,2025-05-02T18:14:46.757,PBOX OST Hornopolní (HRUŠK726),Free,49.841579694,18.267052805,PBOX,OST,Hornopolní,HRUŠK726
4506907,ParcelBox,True,2025-05-03T16:14:29.663,PBOX OST Ahepjukova (HRUŠK624),Free,49.8367275,18.263159388,PBOX,OST,Ahepjukova,HRUŠK624
4506908,ParcelBox,True,2025-05-03T15:54:24.603,PBOX VKV Opavská (Hruška),Free,49.780176888,17.755053111,PBOX,VKV,Opavská,Hruška
4506909,ParcelBox,True,2025-05-04T15:54:27.21,PBOX SNO Zámecká (HRUŠK381),Free,49.726229194,18.193082805,PBOX,SNO,Zámecká,HRUŠK381
4506912,ParcelBox,True,2025-05-04T13:14:25.05,PBOX JBA Jablůnka (REPO-REC),Free,49.384459694,17.950759194,PBOX,JBA,Jablůnka,REPO-REC
4506914,ParcelBox,True,2025-05-04T15:14:22.743,PBOX VSN Okružní (TomPower),Free,49.332480805,17.9895325,PBOX,VSN,Okružní,TomPower
4506916,ParcelBox,True,2025-05-04T13:54:19.76,PBOX SNK Uničovská (Hruška),Free,49.726944388,17.286254388,PBOX,SNK,Uničovská,Hruška
4506919,ParcelBox,True,2025-05-04T13:54:19.833,PBOX BUL Dolní (Rybník),Free,49.982728305,17.460516694,PBOX,BUL,Dolní,Rybník
4506929,ParcelBox,True,2025-05-02T16:34:42.93,PBOX CTA Čistá (Obec),Free,49.825495805,16.330383611,PBOX,CTA,Čistá,Obec
4507029,ParcelBox,True,2025-05-04T10:14:22.803,PBOX KVK Křiváček (Bistro),Free,49.8675825,14.642337805,PBOX,KVK,Křiváček,Bistro
4507030,ParcelBox,True,2025-05-04T16:54:34.967,PBOX PRG K Závěrce (Kmochová),Free,50.056583888,14.402411888,PBOX,PRG,K Závěrce,Kmochová
4507034,ParcelBox,True,2025-05-04T16:34:30.31,PBOX CEV tř.Čsl.Legií (Maxík),Free,48.770441694,14.971816694,PBOX,CEV,tř.Čsl.Legií,Maxík
4507048,ParcelBox,True,2025-04-26T04:37:24.237,PBOX POT Lubenec (Žabka),Free,50.131835305,13.313675305,PBOX,POT,Lubenec,Žabka
4507180,ParcelBox,True,2025-05-04T16:14:30.993,PBOX OST Spojovací (Géčko),Free,49.848585,18.145306111,PBOX,OST,Spojovací,Géčko
4507381,ParcelBox,True,2025-05-04T16:14:31.077,PBOX HME Přímá (CPD-REA),Free,50.132529694,14.337076694,PBOX,HME,Přímá,CPD-REA
4532029,ParcelBox,True,2025-05-03T18:14:28.483,PBOX OST Lechova (HRUŠK715),Free,49.834248611,18.337628305,PBOX,OST,Lechova,HRUŠK715
4532030,ParcelBox,True,2025-04-30T20:54:49.427,PBOX OKE Hlavní (Papučárn),Free,49.202951388,17.539801388,PBOX,OKE,Hlavní,Papučárn
4532032,ParcelBox,True,2025-05-04T12:54:27.327,PBOX JLI Jalubí (COOP),Free,49.117974194,17.426671888,PBOX,JLI,Jalubí,COOP
4532033,ParcelBox,True,2025-05-04T15:14:23.347,PBOX DCE Toužínská (Myčka),Free,49.081069194,15.420020805,PBOX,DCE,Toužínská,Myčka
4532049,ParcelBox,True,2025-05-04T15:14:23.443,PBOX VYS Sportovní (ODSTYLE),Free,49.280774694,16.999144694,PBOX,VYS,Sportovní,ODSTYLE
4532050,ParcelBox,True,2025-05-03T06:14:27.18,PBOX MSE Nádražní (Obec),Free,50.531333611,16.048448111,PBOX,MSE,Nádražní,Obec
