id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4454194,AlzaBox,False,2025-04-28T21:20:53.213,ABOX LTV Valdštejnská (OD Máj),Unknown,50.603878,13.609757
4454196,AlzaBox,False,2025-04-28T21:20:53.28,ABOX PRG Trojská (Pošta),Unknown,50.11676,14.421874
4454198,AlzaBox,False,2025-04-28T21:20:53.347,ABOX HCN Opavská a (Billa),Unknown,49.89867,18.183365
4454201,AlzaBox,False,2025-04-28T21:20:53.457,ABOX KRM Ruská (Parkoviš),Unknown,49.997765,14.97142
4454203,AlzaBox,False,2025-04-28T21:20:53.523,ABOX OLO Wolkerova (Flora),Unknown,49.587894,17.24562
4454204,AlzaBox,False,2025-04-28T21:20:53.553,ABOX PRG Cafourkova,Unknown,50.13185,14.410665
4454209,AlzaBox,False,2025-04-28T21:20:54.237,ABOX UNL Okružní (Kaufland),Unknown,50.66301,14.020929
4454210,AlzaBox,False,2025-04-28T21:20:54.24,ABOX ZNM Dukel.bojovníků (Kaufland),Unknown,48.837154,16.064688
4454211,AlzaBox,False,2025-04-28T21:20:54.31,ABOX CHR SNP (Kaufland),Unknown,49.947803,15.810283
4454214,AlzaBox,False,2025-04-28T21:20:54.417,ABOX BON Obchodní (Kaufland),Unknown,49.956795,14.060374
4454217,AlzaBox,False,2025-04-28T21:20:54.513,ABOX MST Kabátnická (Kaufland),Unknown,50.512432,13.64649
4454219,AlzaBox,False,2025-04-28T21:20:54.577,ABOX OLO Štursova (Kaufland),Unknown,49.588573,17.272503
4454221,AlzaBox,False,2025-04-28T21:20:54.653,ABOX SNK Průmyslová (Kaufland),Unknown,49.71226,17.291561
4454223,AlzaBox,False,2025-04-28T21:20:54.723,ABOX HPC Okružní (Kaufland),Unknown,49.53899,15.345486
4454228,AlzaBox,False,2025-04-28T21:20:54.88,ABOX JBN Jateční (Kaufland),Unknown,50.715694,15.157923
4454230,AlzaBox,False,2025-04-28T21:20:54.953,ABOX UNL Všebořická (Kaufland),Unknown,50.68442,13.994398
4454231,AlzaBox,False,2025-04-28T21:20:54.963,ABOX ZTC Kadaňská (Kaufland),Unknown,50.323723,13.528524
4454232,AlzaBox,False,2025-04-28T21:20:55.02,ABOX KVA Sokolovská (Kaufland),Unknown,50.23309,12.8415
4454233,AlzaBox,False,2025-04-28T21:20:55.057,ABOX NAC Polská (Kaufland),Unknown,50.424164,16.1914
4454234,AlzaBox,False,2025-04-28T21:20:55.09,ABOX BOS Rovná (Kaufland),Unknown,49.490925,16.641214
4454235,AlzaBox,False,2025-04-28T21:20:55.133,ABOX KJV Svatoborská (Kaufland),Unknown,49.00457,17.108147
4454236,AlzaBox,False,2025-04-28T21:20:55.27,ABOX BRN Kamenice (Kaufland),Unknown,49.17428,16.582314
4454239,AlzaBox,False,2025-04-28T21:20:55.54,ABOX HVV Před Tratí (Kaufland),Unknown,49.78798,18.44191
4454240,AlzaBox,False,2025-04-28T21:20:55.583,ABOX OPV Olomoucká (Kaufland),Unknown,49.93055,17.874216
4454248,AlzaBox,False,2025-04-28T21:20:55.967,ABOX RPR Meziříčská (Kaufland),Unknown,49.459095,18.132736
4454250,AlzaBox,False,2025-04-28T21:20:56.04,ABOX MHE Družstevní (Kaufland),Unknown,49.775215,16.933634
4454251,AlzaBox,False,2025-04-28T21:20:56.043,ABOX PSV Okružní (Kaufland),Unknown,49.463028,17.117622
4454252,AlzaBox,False,2025-04-28T21:20:56.113,ABOX VEM U Tržiště (Kaufland),Unknown,49.348396,16.023844
4454253,AlzaBox,False,2025-04-28T21:20:56.147,ABOX ZNS Chelčického (Kaufland),Unknown,49.554974,15.937442
4454256,AlzaBox,False,2025-04-28T21:20:56.25,ABOX HKR Pilnáčkova (Kaufland),Unknown,50.21718,15.839553
4454258,AlzaBox,False,2025-04-28T21:20:56.293,ABOX CHM Mostecká (Kaufland),Unknown,50.464626,13.42121
4454260,AlzaBox,False,2025-04-28T21:20:56.38,ABOX VNF Čs. mládeže (Kaufland),Unknown,50.913445,14.612148
4454261,AlzaBox,False,2025-04-28T21:20:56.427,ABOX LKN Dvořákova (Kaufland),Unknown,49.911114,16.60203
4454262,AlzaBox,False,2025-04-28T21:20:56.447,ABOX PLZ Lochotínská (Kaufland),Unknown,49.75232,13.37767
4454263,AlzaBox,False,2025-04-28T21:20:56.507,ABOX BEN Červené Vršky (Kaufland),Unknown,49.793686,14.682444
4454265,AlzaBox,False,2025-04-28T21:20:56.563,ABOX KLA Štěpánská (Coop),Unknown,50.14197,14.111418
4454268,AlzaBox,False,2025-04-28T21:20:56.683,ABOX POD U Garáží (Kaufland),Unknown,50.15297,15.117866
4454271,AlzaBox,False,2025-04-28T21:20:56.76,ABOX BRN Ve Vaňkovce (Vaňkovka),Unknown,49.186874,16.615067
4454274,AlzaBox,False,2025-04-28T21:20:56.86,ABOX PRG Svatoplukova (MOL),Unknown,50.065865,14.430597
4454275,AlzaBox,False,2025-04-28T21:20:56.917,ABOX PRG Olbrachtova (MOL),Unknown,50.043503,14.440189
4454277,AlzaBox,False,2025-04-28T21:20:56.973,ABOX PRG Partyzánská (Port7),Unknown,50.11097,14.438718
4454281,AlzaBox,False,2025-04-28T21:20:57.137,ABOX PRG Pod Paťankou (Kaufland),Unknown,50.11137,14.393352
4454284,AlzaBox,False,2025-04-28T21:20:57.237,ABOX OST Masarykovo nám. (OC Laso),Unknown,49.83687,18.292671
4454291,AlzaBox,False,2025-04-28T21:20:57.47,ABOX VPP Jesenická (Penny),Unknown,50.121437,17.381226
4454292,AlzaBox,False,2025-04-28T21:20:57.503,ABOX PRG Slovenská (Bohemian),Unknown,50.072624,14.447825
