id2,id,accessPointType,name,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,ID,ulice,cislo,psc,mesto
1869,4583245,ParcelBox,PBOX BLA L. Janáčka (HRUŠKA),49.35938,16.654608111,PBOX,BLA,L. Janáčka,HRUŠKA,"""49.35938,16.654608111"",","Leoše Janáčka 7a, 678 01 Blansko 1, Czechia",36,Leoše Janáčka,7a,67801,Blansko 1
932,4311513,ParcelBox,PBOX BLA Nádražní (ČAD),49.353234694,16.649281388,PBOX,BLA,Nádražní,ČAD,"""49.353234694,16.649281388"",","Nádražní 2320/10, 678 01 Blansko-Blansko 1, Czechia",37,Nádražní,2320/10,67801,Blansko-Blansko 1
729,4273401,ParcelBox,PBOX BLA Náměstí Míru (COOP),49.359026694,16.649576888,PBOX,BLA,Náměstí Míru,COOP,"""49.359026694,16.649576888"",","nám. Míru 1481/1, 678 01 Blansko-Blansko 1, Czechia",38,nám. Míru,1481/1,67801,Blansko-Blansko 1
720,4271653,ParcelBox,PBOX BLA Rožmitálova (Nolatino),49.361514388,16.642705805,PBOX,BLA,Rožmitálova,Nolatino,"""49.361514388,16.642705805"",","Rožmitálova 1813/7, 678 01 Blansko-Blansko 1, Czechia",39,Rožmitálova,1813/7,67801,Blansko-Blansko 1
55,4456959,ParcelBox,PBOX BLE Sokolovská (Trafika),49.952852805,18.0792175,PBOX,BLE,Sokolovská,Trafika,"""49.952852805,18.0792175"",","Sokolovská 1027/1a, 747 23 Bolatice, Czechia",40,Sokolovská,1027/1a,74723,Bolatice
1625,4568219,ParcelBox,PBOX BLO Bílovice (COOP),49.099746694,17.5482025,PBOX,BLO,Bílovice,COOP,"""49.099746694,17.5482025"",","Bílovice 400, 687 12 Bílovice, Czechia",41,Bílovice,400,68712,Bílovice
1565,4567328,ParcelBox,PBOX BMV tř. Masarykova (Myčka),50.589519388,16.326641888,PBOX,BMV,tř. Masarykova,Myčka,"""50.589519388,16.326641888"",","tř. Masarykova 235, 550 01 Broumov-Broumov 1, Czechia",42,tř. Masarykova,235,55001,Broumov-Broumov 1
3458,4580102,ParcelBox,PBOX BNB nám.Republiky (OD TEMPO),49.795493611,17.63013,PBOX,BNB,nám.Republiky,OD TEMPO,"""49.795493611,17.63013"",","Na Sídlišti 697, 747 87 Budišov nad Budišovkou, Czechia",43,Na Sídlišti,697,74787,Budišov nad Budišovkou
271,4532056,ParcelBox,PBOX BNC Pod Stadionem (uhlí),49.367119694,14.391081111,PBOX,BNC,Pod Stadionem,uhlí,"""49.367119694,14.391081111"",","Pod stadionem 351, 398 43 Bernartice-Bernartice u Milevska, Czechia",44,Pod stadionem,351,39843,Bernartice-Bernartice u Milevska
1561,4567323,ParcelBox,PBOX BNE Bravantice (Kamestav),49.755353611,18.084661111,PBOX,BNE,Bravantice,Kamestav,"""49.755353611,18.084661111"",","Bravantice 78, 742 81 Bravantice, Czechia",45,Bravantice,78,74281,Bravantice
796,4298331,ParcelBox,PBOX BNJ Na Výsluní (COOP),50.475292194,14.940802194,PBOX,BNJ,Na Výsluní,COOP,"""50.475292194,14.940802194"",","Na Výsluní 980, 294 01 Bakov nad Jizerou, Czechia",46,Na Výsluní,980,29401,Bakov nad Jizerou
1130,4388695,ParcelBox,PBOX BNL KOSTELECKÁ (BENTO),50.189770305,14.649561388,PBOX,BNL,KOSTELECKÁ,BENTO,"""50.189770305,14.649561388"",","Kostelecká 1529, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia",47,Kostelecká,1529,25001,Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1
806,4298816,ParcelBox,PBOX BNL Krajířské nám (Růže),50.187005805,14.660244194,PBOX,BNL,Krajířské nám,Růže,"""50.187005805,14.660244194"",","Krajířské nám. 1762, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia",48,Krajířské nám.,1762,25001,Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1
400,4543973,ParcelBox,PBOX BNL Zápská (Luki Aut),50.180504388,14.667393888,PBOX,BNL,Zápská,Luki Aut,"""50.180504388,14.667393888"",","Zápská 1543/28, Brandýs nad Labem, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia",49,Zápská,1543/28,25001,Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1
1431,4561011,ParcelBox,PBOX BNL Zápy (Tesco),50.176227194,14.671018305,PBOX,BNL,Zápy,Tesco,"""50.176227194,14.671018305"",","Z��pská 275, Brandýs nad Labem, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia",50,Z��pská,275,25001,Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1
163,4493834,ParcelBox,PBOX BNP Masaryk.nám (Náměstí),49.523518111,16.259696111,PBOX,BNP,Masaryk.nám,Náměstí,"""49.523518111,16.259696111"",","Masarykovo nám. 58, 593 01 Bystřice nad Pern��tejnem, Czechia",51,Masarykovo nám.,58,59301,Bystřice nad Pern��tejnem
714,4270897,ParcelBox,PBOX BNS Obřanská (Fors),49.243483111,16.661741888,PBOX,BNS,Obřanská,Fors,"""49.243483111,16.661741888"",","Obřanská 489, 664 01 Bílovice nad Svitavou, Czechia",52,Obřanská,489,66401,Bílovice nad Svitavou
1603,4567991,ParcelBox,PBOX BNV Bánov (SportHal),48.990517194,17.718786111,PBOX,BNV,Bánov,SportHal,"""48.990517194,17.718786111"",","Bánov 507, 687 54 Bánov, Czechia",53,Bánov,507,68754,Bánov
