ulice,cislo,psc,mesto
Folmavská,3035,30100,Plzeň-Plzeň 3
Gerská,1247/34,31800,Plzeň-Plzeň 1
Guldenerova,512/2,32600,Plzeň 2-Slovany
Habrmannovo nám.,794/5,31200,Plzeň 4-Doubravka
Kaznějovská,323/00,32300,Plzeň 1
Kaznějovská,1516/6,32300,Plzeň 1-Bolevec
Květná,2736/61,32600,Plzeň 2-Slovany-Východní Předměstí
Alej Svobody,732/55,32300,Plzeň 1
Macháčkova,944/26,31800,Plzeň-Plzeň 3
Majerova,2525/7,30100,Plzeň 3-Jižní Předměstí
Na Dlouhých,51,31200,Plzeň-Plzeň 4
Nade Mží,735/2,31800,Plzeň 3-Skvrňany
Nepomucká,122/10,32600,Plzeň 2-Slovany-Hradiště
Nepomucká,151,32600,Plzeň 2-Slovany
P8HC+XJ Pilsen,,,Czechia
Dlouhá,1083/31,31200,Plzeň 4-Lobzy
Rokycanská,1171/6,30100,Plzeň 4-Lobzy
Skupova,24/490,30100,Plzeň-Plzeň 3
Na Jíkalce,2906/19A,30100,Plzeň 3-Jižní Předměstí
Slovanská,53,32600,Plzeň-Plzeň 2-Slovany
Partyzánská,856/7,31200,Plzeň 4-Lobzy
Stará cesta,145/2,31200,Plzeň 4
Studentská,55A,32300,Plzeň 1
Školní,1302/52,31200,Plzeň 4
Třešňová,931/36,31200,Plzeň 4-Doubravka
U Velkého rybníka,2299/27,30100,Plzeň-Plzeň 1
Vojanova,778/20,31800,Plzeň 3-Skvrňany
Žlutická,1665,32300,Plzeň 1-Bolevec
Žlutická,1839/9,32300,Plzeň-Plzeň 1
Novoveská,154,34806,Přimda
Přemyslovice,352,79851,Přemyslovice
Nádražní,561,34815,Planá-Planá u Mariánských Lázní
Plzeňská,916,34815,Planá-Planá u Mariánských Lázní
Přerov nad Labem,114,28916,Přerov nad Labem
Zámčisko,371,76842,Prusinovice
Předměřice nad Jizerou,204,29474,Předměřice nad Jizerou
Pěnčín,60,46821,Pěnčín
Pražská,20,25721,Poříčí nad Sázavou
Spojenecké nám.,81/81,34522,Poběžovice
Polešovice,632,68737,Polešovice
Bílkova,289,29001,Poděbrady-Poděbrady 1
Bílkova,270,29001,Poděbrady 1
Družstevní,5,29001,Poděbrady-Poděbrady III
Husova,819,29001,Poděbrady-Poděbrady 1
Karla Hampla,1115,29001,Poděbrady-Poděbrady III
U Bažantnice,1506,29001,Poděbrady-Poděbrady 1
V Zámku,2,66407,Pozořice
Poříčí,992,69123,Pohořelice
Znojemská,1149,69123,Pohořelice
Hraničky,760/4,72525,Ostrava-Polanka nad Odrou
Karlovarská,25,43983,Lubenec
Staňkova,230,58856,Telč
Kojetín,21,26255,Petrovice-Petrovice u Sedlčan
Úzká,101,54242,Pilníkov
Skuhrov nad Bělou,17,51703,Skuhrov nad Bělou
U Stadionu,33,40332,Povrly
Vroutecká,1210/1210,44101,Podbořany
Michle,414,14000,Praha 4
Armády,1306/2B,15800,Praha 13-Stodůlky
Pod vinicí,1458/12,14300,Praha 4-Modřany
Bellova,26,10900,Praha-Petrovice
Bellušova,1877,15500,Praha 13
Beranových,130,19900,Praha 18
Brandlova,1599/8,14900,Praha-Praha 11
Chlumecká,765,19800,Praha-Praha 14
Úvalská ul,,10000,Strašnice
Brožíkova,3,15000,Praha-Praha 5
Budějovická,45,14000,Praha 4
Budovatelská,287,19015,Praha-Satalice
Okřínecká,796/7,19000,Praha 9-Prosek
Čerpadlová,1034/2b,19000,Praha 9
Českobrodská,50/792,19800,Praha 9
Českomoravská,2420/15a,19000,Praha 9
Čimelická,964/15,14200,Praha 4-Lhotka
Čs. exilu,24,14300,Praha 12
Ďáblická,553,18200,Praha-Praha 8
Dobronická,1256,14800,Praha-Kunratice
Dobřejovická,572/5,14200,Praha 4-Lhotka
Donovalská,1725/47,14900,Praha 11-Chodov
Dubečská,1390/24,10000,Praha-Strašnice
Duhová,425/1,14000,Praha 4
Dvořišťská,964,19800,Praha 14-Kyje
Elišky Přemyslovny,379,15600,Zbraslav
Komenského,297,25070,Odolena Voda-Praha 6
Fajtlova,1090/1,16100,Praha-Praha 6
Hábova,2345,15500,Praha 13
Hartigova,2427/205,13000,Praha 3-Žižkov
Hartigova,2495/221,13000,Praha 3-Žižkov
Helsinská,166/2,15500,Praha-Praha 13
Hloubětínská,1061,19800,Praha 9
Hofbauerova,626/2,16300,Praha 17-Řepy
Štěpařská,1098/22,15200,Praha 5-Barrandov
Hornoměcholupská,576,10900,Praha 15-Horní Měcholupy
Sídliště Zličín,,15521,Praha-Zličín
Poliklinika Háje,,14900,Praha-Praha 11
Chabařovická,1125/4,18200,Praha 8
Chilská,1,14900,Praha 11-Chodov
Chlumecká,2424,19800,Praha 20
Chodovská,1549/18,10100,Praha-Praha 10
Cholupická,431/24,14200,Praha 12-Kamýk
Ratibořická,1167/10,19300,Praha-Praha 20
Jablonecká,423/70,19000,Praha-Praha 9
Jankovcova,24/18,17000,Praha 7-Holešovice
Jeremiášova,1102/9,15500,Praha 13-Stodůlky
Jeremiášova,1422/7B,15500,Řeporyje-Stodůlky
Pod Šmukýřkou,,15800,Praha-Praha 5
Jiřinková,1248/26,10600,Praha 10-Záběhlice
José Martího,1b,16200,Praha 6
K Barrandovu,,15200,Praha-Praha 5
K Hájům,1233/2,15500,Praha 5-Stodůlky-Praha 13
K Horkám,2284,14900,Praha-Praha 11
K Nouzovu,1,14300,Praha 12
K Řeporyjím,14,15500,Praha-Praha 13
Smíchov,2192,15000,Praha 5
Kakosova,1037/1,15500,Řeporyje
Branické náměstí,,14700,Praha-Praha 4
Ke Smíchovu,461/85,15400,Slivenec
Koupaliště Čakovice,,19600,Praha-Praha-Čakovice
Kladenská,699/107,16000,Praha-Praha 6
Líbeznická,,18200,Praha-Praha 8
Komořanská,2168/48,14300,Praha 12
Kpt. Stránského,198/00,19800,Praha 14-Černý Most
Krejnická,2021,14800,Praha 11-Chodov
Křivenická,429/13,18100,Praha 8-Čimice
Lažanského,69/18,14900,Praha 11-Chodov
Darwinova,1808/11,14300,Praha 12
Leopoldova,946/1,14900,Praha 11-Chodov
Lhotecká,1015,14300,Praha-Praha 12
Libušská,400,14200,Praha-Praha-Libuš
Libušská,319/126,14200,Praha-Libuš-SAPA
Hlubočepy,696,15400,Praha 5
Ratibořská,598/24,18100,Praha 8
Poznaňská,443/17,18100,Praha 8-Bohnice
Barunčina,1852/38,14300,Praha 12-Modřany
Chittussiho,1,16000,Praha 6
Makovského,1179,16300,Praha 17
Matějovského,153/11,15300,Praha 16
Matějská,2352/76,16000,Praha-Praha 6
Za pavilónem,666,10700,Praha-Praha-Dubeč
Mezi Vodami,23,14300,Praha-Praha 12
Milevská,922,14000,Praha 4
Mírová,29/42,10300,Praha-Kolovraty
Mladoboleslavská,1148,19700,Praha 9
Modřanská,307/98,14700,Praha 4-Hodkovičky
Moravanů,2145/21,16900,Praha 6-Břevnov
Moravcových,1015/4,19000,Praha-Praha 9
Mukařovského,2590,15500,Praha-Praha 13
Na Bambouzku,264,15531,Praha-Praha-Lipence
Na Baních,1475,15600,Zbraslav
Na Břevnovské Pláni,75,16900,Praha 6
Na Farkáně IV,258/48,15000,Praha 5-Radlice
Na Harfě,929,19000,Praha-Praha 9
Na Hřebenech II,1749/31,14000,Praha-Praha 4
Na Petřinách,392/72,16200,Praha 6
Na Průhonu,812/3,18100,Praha 8-Čimice
Na Rozdílu,752/1,16000,Praha 6-Vokovice
Nad Lávkou,672/5,16000,Praha-Praha 6
Náchodská,2528,19300,Praha 20
Náchodská,121/218,19300,Praha-Praha 20
Nad Rybníkem,0,19012,Praha-Praha-Dolní Počernice
Nárožní,1488,15800,Praha 13-Stodůlky
Nebušická,491,16400,Praha-Praha-Nebušice
Nevanova,1050/11,16300,Praha 17-Řepy
Nosticova,463,11800,Praha 1-Malá Strana
Chýnovská,,14200,Praha-Praha 12
Novosibřinská,2227,19016,Praha-Újezd nad Lesy
Novovysočanská,108,19000,Praha 9-Vysočany
Nuselská,20,14000,Praha-Praha 4
Obchodní nám.,1590/4,14300,Praha-Praha 12
Olšová,549/13,16500,Praha-Suchdol
Břevnov,,16900,Praha 6-Strahov
Opatovská,960/20,14900,Praha 11-Háje
Opatovská,871/23,14900,Praha 11-Háje
Dvorní,,18400,Praha-Dolní Chabry
Osvětová,670,14900,Praha-Šeberov
Papírenská,1113/1b,16000,Praha 6-Bubeneč
Peroutkova,1763/25,15800,Praha 5
Pešlova,363/5,19000,Praha-Praha 9
Pitterova,2878/5,13000,Praha 3-Žižkov
Pivovarnická,1844/15,18000,Praha 8
Plickova,571/3,14900,Praha 11-Háje
Plzeňská,1110/21,15500,Praha-Praha 13
Kartouzská,233/5,15000,Praha 5-Smíchov
Plzeňská,290,15000,Praha 5
Pod Altánem,2406,10000,Praha-Strašnice
Pod Pekařkou,107,14700,Praha 4
Pod Plynojemem,1274/5,18000,Praha 8-Libeň
Pod Statky,17,18200,Praha-Praha 8
Pod Třešňovkou,234,15600,Praha-Zbraslav
Soustružnická,489/4,19800,Praha 9
Podkrkonošská,819/819,19012,Praha-Dolní Počernice
Podvinný mlýn,1418/2,19000,Praha-Praha 9
Struhařovská,9,14100,Praha 4
Prašná,980/40,14900,Praha 4
Pražská,99/17,10200,Praha 15-Hostivař
Prosecká,29/58,19000,Praha 9-Prosek
Nad Šestikopy,835,19000,Praha 9-Prosek
Přetlucká,3422/23,10000,Praha-Praha 10
Přetlucká,3295/50,10000,Praha-Praha 10
Pujmanové,1218,14000,Praha 4-Krč
Radimova,2322,16900,Praha-Praha 6
Radiová,1,10200,Praha-Praha 15
Radlická,117/520,15800,Praha 5
Rodopská,3148/3,14300,Praha 12-Modřany
Rýmařovská,561,19900,Praha 18
Řevnická,170/4,15521,Zličín-Třebonice
Severní I,35,14100,Praha 4
Sídliště,1079/19,15300,Praha-Praha 16
Skandinávská,25,15500,Praha 13
Skorkovská,1644,19800,Praha 14
Skorkovská,1310,19800,Praha 14
Czechia,,19800,Praha 14
Stará Spojovací,2263/9,19000,Praha 9-Libeň
Strakonická,63,15900,Praha-Velká Chuchle
Středohorská,00/549,10400,Praha 22-Uhříněves
Světská,222/2,19800,Praha 14-Kyje
Šafránkova,1243/3,15500,Praha 13
Špirkova,522/14,14200,Praha 12-Kamýk
Štúrova,1282/12,14200,Praha 4-Krč
Švehlova,1391/32,10200,Praha-Praha 15
Teplická,494/17,19000,Praha 9-Střížkov
Jeremiášova,1106,15500,Praha-Praha 13
Travná,1217,19800,Praha 14-Kyje
Trousilova,1031/2,18200,Praha 8
Třebohostická,564/9,10000,Praha-Strašnice
Tuklatská,2104/5,10000,Strašnice
Turnovského,10,10000,Praha-Praha 10
Tusarova,1519/22,17000,Praha 7-Holešovice
U Boroviček,605/23,16300,Praha 17-Řepy
U Dvojdomů,1324/13,10200,Praha-Praha 15
U Elektry,7,19000,Praha-Praha 9
U Modré školy,2337/1,14900,Praha 11-Háje
Husníkova - lok.18,,15800,Praha 13
V Olšinách,75,10000,Praha-Strašnice
V Zahrádkách,1953/67,13000,Praha-Praha 3
Xaverov,,19300,Praha-Praha 20
Veletržní,1623/24,17000,Praha 7-Holešovice
Veltruská,559/31,19000,Praha 9-Prosek
Veselská,721,19900,Praha-Praha 18
Mladenovova,12,14300,Praha-Praha 12
Vladivostocká,1460/10b,10000,Praha 10-Vršovice
Vojtíškova,1783,14800,Praha 11-Chodov
Vršní,1052/18,18200,Praha-Praha 8
Sportovní,111/3,10100,Praha 10-Vršovice
Výpadová,1147/4,15300,Praha 16
Nad Santoškou,34,15000,Praha 5-Smíchov
Nad Rybníky,,14000,Praha-Praha 4
Krupná,2177,14300,Praha 4
Zenklova,608/150,18000,Praha 8-Libeň
Žilinská,1835/4,14100,Praha 4
Žirovnická,2389/6,10600,Praha 10-Záběhlice
Žukovského,887/4,16100,Praha-Praha 6
V Oblouku,728,25243,Průhonice
Čechova,26,75002,Přerov-Přerov 2
Gen. Fajtla,3474/19,75002,Přerov-Přerov 2
Kojetínská,4,75002,Přerov-Přerov 2
Malá Dlážka,2859/16,75002,Přerov-Přerov I-Město
Na Hrázi,1139/13,75002,Přerov-Přerov 2
Na Odpoledni,347/5,75002,Přerov-Přerov 2
Svisle,1100/9,75002,Přerov-Přerov 2
Teličkova,491/6b,75124,Přerov-Přerov 4
Tovární,2993/4,75002,Přerov-Přerov 2
Přerov I-Město,3552/3552,75002,Přerov-Přerov I-Město
tř. gen. Janouška,2854/2,75002,Přerov 2
U Pošty,423/10,75124,Přerov-Přerov 4
Za Mlýnem,1116/54,75002,Přerov-Přerov I-Město
Poříčany,355,28914,Poříčany
Proseč,70,53944,Proseč
5. května,1077,33401,Přeštice
Dukelská,940,33401,Přeštice
Václavská,1/1,39701,Písek-Písek 1
Hradiště,234,39701,Písek-Písek 1
Nádražní,2143,39701,Písek-Písek 1
Nádražní,2590,39701,Písek-Písek 1
Pražská,443/59,39701,Písek-Písek 1
Pražská,348/43,39701,Písek-Písek 1
Stanislava Maliny,476/3,39701,Písek-Písek 1
Šobrova,1933/4,39701,Písek-Písek 1
Táborská,2300,39701,Písek-Písek 1
Pištín,77,37346,Pištín
Anenská,4263/25,79601,Prostějov-Prostějov 4
Bohumíra Šmerala,3773,79601,Prostějov-Prostějov 1
Čs. armádního sboru,591/47,79811,Prostějov-Prostějov 6
J. B. Pecky,3246/9,79601,Prostějov-Prostějov 1
Konečná,441/25,79607,Držovice-Prostějov 7
Pod Kosířem,2451/42,79601,Prostějov-Prostějov 1
Vrahovická,720/56B,79811,Prostějov-Prostějov 6
Klimšova,829,73541,Petřvald-Petřvald u Karviné
Ostravská,1845,73541,Petřvald-Petřvald u Karviné
Třešňová,943,39811,Protivín
Dolní Marklovice,119,73572,Petrovice u Karviné
Stonava,1040,73534,Stonava
Závada,4,73572,Petrovice u Karviné
Březinská,1555,73541,Petřvald u Karviné
Pod Hřebenem,526/526,25073,Přezletice-Jenštejn
Dukel. hrdinů,2552,26901,Rakovník-Rakovník 1
Dukel. hrdinů,1805,26901,Rakovník-Rakovník II
Luženská,2727/2727,26901,Rakovník-Rakovník II
Luženská,2725,26901,Rakovník-Rakovník 1
Plzeňská,2809,26901,Rakovník-Rakovník 1
Trojanova,2568,26901,Rakovník-Rakovník II
Vinohradská,2234,26901,Rakovník-Rakovník II
Černokostelecká,55a,25101,��íčany-Říčany u Prahy
Černokostelecká,2270/22,25101,Říčany-Říčany u Prahy
Pod Lihovarem,1828/2,25101,Říčany u Prahy
Havlíčkovo nám.,948/1,25219,Rudná-Rudná u Prahy
Hořelické nám.,1130,25219,Rudná-Rudná u Prahy
Rudník,59,54372,Rudník
Prvomájová,1181/23,15300,Praha-Radotín
Radiměř,440,56907,Radiměř
9. května,291/291,67902,Rájec-Jestřebí
Ratibořské Hory,42,39142,Ratibořské Hory
Sportovní,604,67902,Rájec-Jestřebí
Míru,989,33701,Rokycany-Rokycany 1
Pivovarská,14,33701,Rokycany-Rokycany 1
Vítězná,1272,69602,Ratíškovice
Slévačská,1558/46,40801,Rumburk
Pražská,1677,40801,Rumburk
V Podhájí,279/5,40801,Rumburk-Rumburk 1
W2M2+M2 Dolní Studénky,,,Czechia
J. Fučíka,130/79,79501,Rýmařov
V Brance,344,27062,Rynholec
Havlíčkova,1361,51601,Rychnov nad Kněžnou
Štemberkova,1094,51601,Rychnov nad Kněžnou
Štemberkova,1698,51601,Rychnov nad Kněžnou
Zborovská,17/17,51601,Rychnov nad Kněžnou
9. května,2026,41301,Roudnice nad Labem
Alej 17. listopadu,2692,41301,Roudnice nad Labem
Nám. 28. října,1693,41301,Roudnice nad Labem
Sídliště,648,35701,Rotava-Rotava 1
Jesenická,543,78814,Rapotín
Kulturní,1790,75661,Rožnov pod Radhoštěm-Rožnov pod Radhoštěm 1
Slezská,602,75661,Rožnov pod Radhoštěm-Rožnov pod Radhoštěm 1
Svazarmovská,1682,75661,Rožnov pod Radhoštěm-Rožnov pod Radhoštěm 1
Palackého,,26242,Rožmitál pod Třemšínem
Rosice,,66501,Rosice-Rosice u Brna
Sušilovo nám.,20/26,68301,Rousínov-Rousínov u Vyškova
Rataje,139,76812,Rataje
Na Návsi,54,25203,Řitka
Ratiboř,437,75621,Ratiboř
Masarykova,1008,25219,Rudná-Rudná u Prahy
Lidická,1036/1036,25263,Roztoky-Roztoky u Prahy
Petřvaldská,888,73532,Rychvald
Nám. Horníků,799/799,54233,Rtyně v Podkrkonoší
Rokytnice,218,75104,Rokytnice
Rokytnice,167,76321,Rokytnice
Nerudova,160,75661,Rožnov pod Radhoštěm-Rožnov pod Radhoštěm 1
Poděbradská,1105,28912,Sadská
U Třicátku,166,68765,Strání
Šardice,436,69613,Šardice
Ledenická-St. Pohůrka,1297/1297,37006,Srubec-České Budějovice 6
Stěbořice,17,74751,Stěbořice
Družstevní,165,38426,Strunkovice nad Blanicí
Třebízského,2014,25001,Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1
Na Návsi,131/2,78335,Skrbeň-Horka nad Moravou
Strupčice,300,43114,Strupčice
Suchdol,26,28502,Suchdol
Sjednocení,889,74213,Studénka-Studénka 3
nám. Sv. J. Nepomuckého,526,37856,Studená
Na Potůčku,38,26401,Sedlčany
Na Severním sídlišti,1071,26401,Sedlčany
Příbramská,1176,26401,Sedlčany
Na Broukaláku,132,25101,Světice-Říčany u Prahy
Obchodní,878,39201,Soběslav
Tyršova,483/7,39201,Soběslav
U Parkoviště,455,74715,Šilheřovice
Hradiště na Písku,23,53352,Staré Hradiště-Staré Hradiště u Pardubic
Hlavní,331,27342,Stehelčeves
Hrádecká,253/253,76321,Slavičín
Nádražní,87,76321,Slavičín
nám. Mezi Šenky,166,76321,Slavičín
Kaplice-nádraží,28,38242,Střítež-Kaplice 2
Obchvatová,995,53973,Skuteč
Smetanova,,53973,Skuteč
žel.zast.,,28123,Starý Kolín
Zámecká,1100,40777,Šluknov
Svojsíkova,339,40777,Šluknov
Třebohostice,41,25083,Škvorec
Lidická,72,25268,Středokluky
Švehlova,1503/85,66451,Šlapanice-Šlapanice u Brna
Wilsonova,781,27401,Slaný-Slaný 1
Hlavní,345,25168,Sulice-Kamenice
Slatinice,417,78342,Slatinice
Pod Kuželnou,80,74757,Slavkov-Slavkov u Opavy
Pražská,763,27401,Slaný-Slaný 1
Masarykova,134,53304,Sezemice
Zákostelí,541,79817,Smržice
Dr. E. Beneše,1145,39101,Sezimovo Ústí-Sezimovo Ústí 1
nám. Tomáše Bati,424,39102,Sezimovo Ústí-Sezimovo Ústí 2
Bavlnářská,360,51301,Semily
Bořkovská,573,51301,Semily
Na Mýtě,182/182,51301,Semily
Studnice,131,54948,Studnice
Dukelská,672,74242,Šenov u Nového Jičína
Lhotská,2464/19A,78501,Šternberk-Šternberk 1
Nádražní,44426,78501,Šternberk-Šternberk 1
Obchodní,2554/1,78501,Šternberk
Olomoucká 785,01,78501,Šternberk-Šternberk 1
Uničovská,2148/98,78501,Šternberk-Šternberk 1
Kateřinská,572,46303,Stráž nad Nisou
Zámecká,764,73923,Stará Ves nad Ondřejnicí
Komenského,1121,58291,Světlá nad Sázavou
Lánecká,597,58291,Světlá nad Sázavou
Na Bradle,994/994,58291,Světlá nad Sázavou
Stonařov,332,58833,Stonařov
Sobotín,248,78816,Sobotín
Alšova,1747,35601,Sokolov-Sokolov 1
B. Němcové,2229,35601,Sokolov-Sokolov 1
Jiráskova,957,35601,Sokolov-Sokolov 1
K. H. Borovského,2171,35601,Sokolov-Sokolov 1
Vítězná,2265,35601,Sokolov-Sokolov 1
Malé nám.,2270,35601,Sokolov-Sokolov 1
M. Majerové,2241,35601,Sokolov-Sokolov 1
Sobětuchy,56,53701,Sobětuchy
Nerudova,934,33202,Starý Plzenec
Hlavní,227/74,74728,Štěpánkovice
U Koupaliště,494,43101,Spořice
Revoluční,223,47127,Stráž pod Ralskem
nám. Nár. povst.,11,59202,Svratka
Gagarinova,1345,34901,Stříbro
U Věže,1806,34901,Stříbro
Hrádecká,1310,34201,Sušice-Sušice 1
Nádražní,1375,34201,Sušice-Sušice 1
Štěpánov nad Svratkou,13,59263,Štěpánov nad Svratkou
Hlavní,1164/206,69604,Svatobořice-Mistřín-Svatobořice
Cihelná,698,41108,Štětí
Starý Jičín,96,74231,Starý Jičín
Mírová,43/43,38601,Strakonice-Strakonice I
Staré Křečany,555,40761,Staré Křečany
Tovární,10,38601,Strakonice-Strakonice II
Hradišťská,1955,68603,Staré Město-Staré Město u Uherského Hradiště 3
Východn��,2063,68603,Staré Město-Staré Město u Uherského Hradiště 3
Hlavní,68,74791,Štítina
Osvobození,540,27303,Stochov
Nad Rybníkem,33,37373,Štěpánovice-Štěpánovice u Českých Budějovic
Strašice,40,33845,Strašice
Polní,1465,68401,Slavkov u Brna
Milana Rastislava Štefánika,318/1,78701,Šumperk 1
Gen. Krátkého,3,78701,Šumperk-Šumperk 1
Lidická,610/51,78701,Šumperk 1
nám. Republiky,2600/7,78701,Šumperk-Šumperk 1
Temenická,2779/85,78701,Šumperk-Šumperk 1
Uničovská,1785/32,78701,Šumperk-Šumperk 1
Šumperk,3188,78701,Šumperk
Zábřežská,1815/19,78701,Šumperk-Šumperk 1
Žerotínova,2833/46,78701,Šumperk-Šumperk 1
Sudkov,157,78821,Sudkov
Dostihová,653,76315,Slušovice
Plzeňská,42,33209,Štěnovice
Horní lán,1196/9,77900,Olomouc-Olomouc 9
Nerudova,193/2,56802,Svitavy-Svitavy 2
Riegrova,1624,56802,Svitavy-Svitavy 2
Richarda Kloudy,1639/6,56802,Svitavy-Svitavy 2
U Tří mostů,969/9,56802,Svitavy-Svitavy 2
Syrovice,274,66467,Syrovice
Spytihněv,,76364,Spytihněv
Husova,539/539,46851,Smržovka
Skalická,730,69662,Strážnice
Poznaňská,496,28506,Sázava
Průmyslová,332,28506,Sázava
Dělnické nám.,847/3,67401,Třebíč-Třebíč 1
Kosmákova,3,67401,Třebíč-Třebíč 1
Hrotovická,1202/27,67401,Třebíč-Třebíč 1
Modřínová,600/1,67401,Třebíč-Třebíč 1
Purkyňovo nám.,86/86,67401,Třebíč-Třebíč 1
Tomáše Bati,1090,67401,Třebíč-Třebíč 1
Okrajová,1167/4,67401,Třebíč-Třebíč 1
Třebovice,187,56124,Třebovice
Jihlavská,700/21,66441,Troubsko
Nádražní,641,37901,Třeboň
Svobody,1029,37901,Třeboň
Helsinská,2760/18,39005,Tábor-Tábor 5
Chýnovská,3192,39002,Tábor-Tábor 2
Kpt. Jaroše,2960,39003,Tábor-Tábor 3
U Jednoty,226,39002,Tábor-Tábor 2
Soběslavská,3046,39005,Tábor-Tábor 5
Soběslavská,2399,39002,Tábor 2
Soběslavská,3038,39002,Tábor-Tábor 2
Václava Soumara 2300 lok.18 unut,8,39003,Tábor-Tábor 3
V Zálesí,303,25226,Třebotov
Troubky,797,75102,Troubky
Táborská,111/1,67401,Třebíč-Třebíč 1
Antonína Sochora,1870,41501,Teplice-Teplice 1
Bohosudovská,29,41510,Teplice-Teplice 10
Březová,3040,41501,Teplice-Teplice 1
Buzulucká,472,41503,Teplice-Teplice 3
Doubravická,1691,41501,Teplice-Teplice 1
Duchcovská,3132,41501,Teplice-Teplice 1
Stará Duchcovská,242/90,41503,Teplice-Teplice 3
Gagarinova,1423,41501,Teplice-Teplice 1
Gen. Svobody,1461,41501,Teplice-Teplice 1
Hrázní,1897,41501,Teplice-Teplice 1
Maršovská,1539/3,41501,Teplice-Teplice 1
Nákladní,3201,41501,Teplice-Teplice 1
nám. Svobody,3316,41501,Teplice-Teplice 1
Pražská,300,41501,Teplice-Teplice 1
Svahová,1698,41501,Teplice-Teplice 1
Revoluční,1206/6,58901,Třešť
Tehov,3,25101,Tehov
Budovatelská,916,37401,Trhové Sviny
Hornická,1449,34701,Tachov-Tachov 1
Oldřichovská,1437,34701,Tachov-Tachov 1
Sokolovská,2164,34701,Tachov-Tachov 1
Tichá,444,74274,Tichá
Dlouhá,1981,66601,Tišnov-Tišnov 1
Dřínová,1683,66601,Tišnov-Tišnov 1
Dvořákova,314,66601,Tišnov-Tišnov 1
Horova,958,66601,Tišnov-Tišnov 3
Za Mlýnem,458,66601,Tišnov-Tišnov 1
Dačická,613,58856,Telč
Draha,110,66459,Telnice-Telnice u Brna
Náměstí,353,53843,Třemošnice
Nádražní,852,76362,Tlumačov
Trnava,186,67401,Trnava
Dukelská,1137,73961,Třinec-Třinec 1
nám. Svobody,527,73961,Třinec-Třinec 1
Nebory,613/613,73961,Třinec-Třinec 1
Sosnová,411,73961,Třinec-Třinec 1
1 Třinec 1 CZ,,73961,Třinec-Třinec 1
Mostecká,1063,51721,Týniště nad Orlicí
Chrást nad Sázavou,243,25742,Týnec nad Sázavou-Krhanice
Hlinecká,745,37501,Týn nad Vltavou 1
Orlická,555,37501,Týn nad Vltavou-Týn nad Vltavou 1
Průmyslová,643,37501,Týn nad Vltavou-Týn nad Vltavou 1
Náměstí,34,27302,Tuchlovice
Topolná,204,68711,Topolná
Přemyslova,661,50346,Třebechovice pod Orebem
Horní Staré Město,696,54102,Trutnov-Trutnov 4
Maxima Gorkého,453,54101,Trutnov-Trutnov 1
Polská,367,54101,Trutnov-Trutnov 1
Za Cihelnou,533,54101,Trutnov-Trutnov 1
Alešova,1865,51101,Turnov-Turnov 1
Sobotecká,580,51101,Turnov-Turnov 1
Marie Podvalové,334,27715,Tišice
Malé nám.,469,36401,Toužim
Palackého,545,46841,Tanvald
Tyršova,314,66453,Újezd u Brna
Dolní valy,631,68801,Uherský Brod-Uherský Brod 1
Močidla,2873,68801,Uherský Brod-Uherský Brod 1
Na Láně,2009,68801,Uherský Brod-Uherský Brod 1
Vlčnovská,2462,68801,Uherský Brod-Uherský Brod 1
Na Rybníku,973,68601,Uherské Hradiště-Uherské Hradiště 5
Velehradská tř.,1300,68601,Uherské Hradiště-Uherské Hradiště 1
Sadová,1368,68605,Uherské Hradiště-Uherské Hradiště 5
Pražská,836,27351,Unhošť
Újezd,78,78396,Újezd
Dukelská,1157,78391,Uničov-Uničov 1
Litovelská,1279,78391,Uničov-Uničov 1
Šumperská,530,78391,Uničov-Uničov 1
Čechova,772/2,40007,Ústí nad Labem-Neštěmice-Krásné Březno
Dukel. hrdinů,779/779,40001,Ústí nad Labem-Ústí nad Labem-město
Haví��ská,354,40010,Ústí nad Labem-město
Hornická,11/2515,40011,Ústí nad Labem-Ústí nad Labem-město
Jana Zajíce,2884/19,40011,Ústí nad Labem-Severní Terasa
Klíšská,996/135,40001,Ústí nad Labem-město-Klíše
Krušnohorská,2890/7,40011,Ústí nad Labem-Severní Terasa
Ladova,2548/38,40011,Ústí nad Labem-Severní Terasa
Maková,2801/1,40011,Ústí nad Labem-Ústí nad Labem-Severní Terasa
Malátova,2446/16,40011,Ústí nad Labem-město
Ulice Masarykova,974/232,40001,Ústí nad Labem-město
Mírová,2700,40011,Ústí nad Labem-Severní Terasa
Novosedlické nám.,1239/2,40003,Ústí nad Labem-Ústí nad Labem-Střekov
Obvodová,732/20,40007,Ústí nad Labem-Neštěmice-Krásné Březno
Peškova,504,40331,Ústí nad Labem-Neštěmice-Mojžíř
Seifertova,574,40331,Ústí nad Labem-Ústí nad Labem-Neštěmice
Seifertova,398/398,40331,Ústí nad Labem-Ústí nad Labem-Neštěmice
SNP,2379/24,40011,Ústí nad Labem-město-Ústí nad Labem-centrum
Špálova,2684/1,40011,Ústí nad Labem-Severní Terasa
Šrámkova,3218/22,40011,Ústí nad Labem-Ústí nad Labem-Severní Terasa
Tolstého,39/41,40003,Ústí nad Labem-Střekov
Globus,,40004,Trmice
U Pivovarské zahrady,794/7,40007,Ústí nad Labem-Neštěmice-Krásné Březno
Vojanova,606/35,40007,Ústí nad Labem-Neštěmice-Krásné Březno
