ulice,cislo,psc,mesto
Suchovrbenské nám.,1,37006,České Budějovice-České Budějovice 6
Za Otýlií,2874/6,37004,České Budějovice-České Budějovice 4
Pernerova,394,56501,Choceň-Choceň 1
Chocerady,327,25724,Chocerady
Rooseveltova,846,35735,Chodov-Chodov u Karlových Var 1
Smetanova,699,35735,Chodov-Chodov u Karlových Var 1
Tovární,726,35735,Chodov-Chodov u Karlových Var 1
T. G. Masaryka,224,37810,České Velenice
třída Čsl. legií 649,10,37810,České Velenice
Sídliště,591,47154,Cvikov-Cvikov II
Pivovarská,308,47154,Cvikov-Cvikov II
Náchodská,1235,54941,Červený Kostelec
Stankovského,1941,25088,Čelákovice
Toušeňská,2044,25088,Čelákovice
Rooseveltova,36,38101,Český Krumlov-Český Krumlov 1
Sídl. Plešivec,254,38101,Český Krumlov-Český Krumlov 1
Tovární,164,38101,Český Krumlov-Český Krumlov 1
Antonína Sovy,2119,47001,Česká Lípa-Česká Lípa 1
Děčínská,3422,47001,Česká Lípa-Česká Lípa 1
Děčínská,6,47001,Česká Lípa-Česká Lípa 1
Erbenova,2906,47001,Česká Lípa-Česká Lípa 1
Hrnčířská,2985,47001,Česká Lípa-Česká Lípa 1
Máchova,1114/10,47001,Česká Lípa-Česká Lípa 1
Chvalšiny,12,38208,Chvalšiny
Ústecká,255,40339,Chlumec-Chlumec u Ústí nad Labem
Čimelice,279,39804,Čimelice
Osvobození,291,51771,České Meziříčí
U Stadionu,362,33442,Chlumčany-Chlumčany u Přeštic
Kozelkova,26,50351,Chlumec nad Cidlinou
Malá Čermná,45,51725,Čermná nad Orlicí
Černilov,31,50343,Černilov
Táborská,131,39137,Chotoviny
Janáčkova,52,53345,Čeperka-Opatovice nad Labem
V Uličce,6,28121,Červené Pečky
Andělohorská,373,46331,Chrastava
Jiráskova,223/223,43901,Černčice
Moravská,887/887,76811,Chropyně
Cerekvice nad Loučnou,171,56953,Cerekvice nad Loučnou
28. října,377/377,55203,Česká Skalice
Jeníkovská,2062,28601,Čáslav
Čistá,376,56956,Čistá
